entidad_federativa,tipo_inversion,anio,trimestre,confidencial,ied_acumulado_mdd,flujo_mdd
Aguascalientes,Cuentas entre compañías,2006,1,False,14.685269,14.685269
Aguascalientes,Cuentas entre compañías,2006,2,False,30.673324,15.988055000000001
Aguascalientes,Cuentas entre compañías,2006,3,False,40.861993,10.188668999999997
Aguascalientes,Cuentas entre compañías,2006,4,False,57.479905,16.617912000000004
Aguascalientes,Cuentas entre compañías,2007,1,False,-2.192762,-2.192762
Aguascalientes,Cuentas entre compañías,2007,2,False,14.673218,16.86598
Aguascalientes,Cuentas entre compañías,2007,3,False,20.122823,5.449605
Aguascalientes,Cuentas entre compañías,2007,4,False,47.11899,26.996166999999996
Aguascalientes,Cuentas entre compañías,2008,1,False,-12.138535,-12.138535
Aguascalientes,Cuentas entre compañías,2008,2,False,-108.347213,-96.20867799999999
Aguascalientes,Cuentas entre compañías,2008,3,False,-77.207139,31.140074
Aguascalientes,Cuentas entre compañías,2008,4,False,-31.865703,45.341436
Aguascalientes,Cuentas entre compañías,2009,1,False,-59.525938,-59.525938
Aguascalientes,Cuentas entre compañías,2009,2,False,-44.725582,14.800355999999994
Aguascalientes,Cuentas entre compañías,2009,3,False,-32.880423,11.845159000000002
Aguascalientes,Cuentas entre compañías,2009,4,False,-152.842854,-119.96243099999998
Aguascalientes,Cuentas entre compañías,2010,1,False,135.415989,135.415989
Aguascalientes,Cuentas entre compañías,2010,2,False,113.741704,-21.674284999999998
Aguascalientes,Cuentas entre compañías,2010,3,False,152.874425,39.132721000000004
Aguascalientes,Cuentas entre compañías,2010,4,False,163.73051026,10.856085259999986
Aguascalientes,Cuentas entre compañías,2011,1,False,42.790748,42.790748
Aguascalientes,Cuentas entre compañías,2011,2,False,25.020025,-17.770723
Aguascalientes,Cuentas entre compañías,2011,3,False,11.220981,-13.799044
Aguascalientes,Cuentas entre compañías,2011,4,False,-2.11284471,-13.33382571
Aguascalientes,Cuentas entre compañías,2012,1,False,-6.41865204,-6.41865204
Aguascalientes,Cuentas entre compañías,2012,2,False,4.71921496,11.137867
Aguascalientes,Cuentas entre compañías,2012,3,False,28.56357996,23.844364999999996
Aguascalientes,Cuentas entre compañías,2012,4,False,24.6671988,-3.896381159999997
Aguascalientes,Cuentas entre compañías,2013,1,False,-252.72954694,-252.72954694
Aguascalientes,Cuentas entre compañías,2013,2,False,-393.68623574,-140.95668879999997
Aguascalientes,Cuentas entre compañías,2013,3,False,-330.08414374,63.60209199999997
Aguascalientes,Cuentas entre compañías,2013,4,False,-451.62647462,-121.54233088000001
Aguascalientes,Cuentas entre compañías,2014,1,False,158.411514,158.411514
Aguascalientes,Cuentas entre compañías,2014,2,False,188.66508211,30.253568109999975
