entidad_federativa,anio,trimestre,confidencial,ied_acumulado_mdd,flujo_mdd
Aguascalientes,2006,1,False,49.93765879,49.93765879
Aguascalientes,2006,2,False,90.21150579,40.273847
Aguascalientes,2006,3,False,114.05534079,23.843835
Aguascalientes,2006,4,False,140.59391379,26.538572999999985
Aguascalientes,2007,1,False,51.873918,51.873918
Aguascalientes,2007,2,False,142.457447,90.583529
Aguascalientes,2007,3,False,210.601066,68.143619
Aguascalientes,2007,4,False,410.573807,199.97274099999998
Aguascalientes,2008,1,False,312.55232058,312.55232058
Aguascalientes,2008,2,False,234.34600558,-78.20631500000002
Aguascalientes,2008,3,False,283.16575158,48.81974600000001
Aguascalientes,2008,4,False,337.48520458,54.31945300000001
Aguascalientes,2009,1,False,256.24969468,256.24969468
Aguascalientes,2009,2,False,397.8766046,141.62690992
Aguascalientes,2009,3,False,434.85574136,36.97913676000002
Aguascalientes,2009,4,False,342.20605736,-92.64968400000004
Aguascalientes,2010,1,False,276.59696066,276.59696066
Aguascalientes,2010,2,False,246.58461204,-30.012348619999983
Aguascalientes,2010,3,False,301.73820704,55.153595000000024
Aguascalientes,2010,4,False,333.1545323,31.416325260000008
Aguascalientes,2011,1,False,262.37066492,262.37066492
Aguascalientes,2011,2,False,259.48565434,-2.885010580000028
Aguascalientes,2011,3,False,259.44208534,-0.043568999999990865
Aguascalientes,2011,4,False,236.80517733,-22.636908010000013
Aguascalientes,2012,1,False,211.02718225,211.02718225
Aguascalientes,2012,2,False,180.32385059,-30.703331660000003
Aguascalientes,2012,3,False,283.70977659,103.38592599999998
Aguascalientes,2012,4,False,355.20950295,71.49972636000001
Aguascalientes,2013,1,False,84.47367336,84.47367336
Aguascalientes,2013,2,False,56.9578554,-27.515817960000007
Aguascalientes,2013,3,False,131.9513104,74.99345500000001
Aguascalientes,2013,4,False,69.13988341,-62.811426990000015
Aguascalientes,2014,1,False,501.74141679,501.74141679
Aguascalientes,2014,2,False,731.90154441,230.16012762000003
Aguascalientes,2014,3,False,886.55234315,154.6507987399999
Aguascalientes,2014,4,False,978.79884592,92.24650277
Aguascalientes,2015,1,False,480.76910045,480.76910045
Aguascalientes,2015,2,False,602.10523352,121.33613306999996
Aguascalientes,2015,3,False,661.63113151,59.52589799000009
Aguascalientes,2015,4,False,812.58414243,150.95301092
Aguascalientes,2016,1,False,202.04959741,202.04959741
Aguascalientes,2016,2,False,284.31590963,82.26631222000003
Aguascalientes,2016,3,False,416.91123401,132.59532437999997
Aguascalientes,2016,4,False,594.87973161,177.96849760000003
Aguascalientes,2017,1,False,636.25353322,636.25353322
Aguascalientes,2017,2,False,886.07148637,249.81795315
Aguascalientes,2017,3,False,995.42617003,109.35468365999998
Aguascalientes,2017,4,False,1576.33727363,580.9111036
Aguascalientes,2018,1,False,216.78055361,216.78055361
Aguascalientes,2018,2,False,858.1390785,641.35852489
Aguascalientes,2018,3,False,936.28032378,78.14124528000002
Aguascalientes,2018,4,False,1196.98019832,260.69987454
Aguascalientes,2019,1,False,167.88986855,167.88986855
Aguascalientes,2019,2,False,270.46687449,102.57700594000002
