pais_origen,anio,trimestre,confidencial,ied_acumulado_mdd,flujo_mdd
Afganistán,2006,1,False,0.0,0.0
Afganistán,2006,2,False,0.0,0.0
Afganistán,2006,3,False,0.0,0.0
Afganistán,2006,4,False,0.0,0.0
Afganistán,2007,1,False,0.0,0.0
Afganistán,2007,2,False,0.0,0.0
Afganistán,2007,3,False,0.0,0.0
Afganistán,2007,4,False,0.0,0.0
Afganistán,2008,1,False,0.0,0.0
Afganistán,2008,2,False,0.0,0.0
Afganistán,2008,3,False,0.0,0.0
Afganistán,2008,4,False,0.0,0.0
Afganistán,2009,1,False,0.0,0.0
Afganistán,2009,2,False,0.0,0.0
Afganistán,2009,3,False,0.0,0.0
Afganistán,2009,4,False,0.0,0.0
Afganistán,2010,1,False,0.0,0.0
Afganistán,2010,2,False,0.0,0.0
Afganistán,2010,3,False,0.0,0.0
Afganistán,2010,4,False,0.0,0.0
Afganistán,2011,1,False,0.0,0.0
Afganistán,2011,2,False,0.0,0.0
Afganistán,2011,3,False,0.0,0.0
Afganistán,2011,4,False,0.0,0.0
Afganistán,2012,1,False,0.0,0.0
Afganistán,2012,2,False,0.0,0.0
Afganistán,2012,3,False,0.0,0.0
Afganistán,2012,4,False,0.0,0.0
Afganistán,2013,1,False,0.0,0.0
Afganistán,2013,2,False,0.0,0.0
Afganistán,2013,3,False,0.0,0.0
Afganistán,2013,4,False,0.0,0.0
Afganistán,2014,1,False,0.0,0.0
Afganistán,2014,2,False,0.0,0.0
Afganistán,2014,3,False,0.0,0.0
Afganistán,2014,4,False,0.0,0.0
Afganistán,2015,1,False,0.0,0.0
Afganistán,2015,2,False,0.0,0.0
Afganistán,2015,3,False,0.0,0.0
Afganistán,2015,4,False,0.0,0.0
Afganistán,2016,1,False,0.0,0.0
Afganistán,2016,2,False,0.0,0.0
Afganistán,2016,3,False,0.0,0.0
Afganistán,2016,4,False,0.0,0.0
Afganistán,2017,1,False,0.0,0.0
Afganistán,2017,2,False,0.0,0.0
Afganistán,2017,3,False,0.0,0.0
Afganistán,2017,4,False,0.0,0.0
Afganistán,2018,1,False,0.0,0.0
Afganistán,2018,2,False,0.0,0.0
Afganistán,2018,3,False,0.0,0.0
Afganistán,2018,4,False,0.0,0.0
Afganistán,2019,1,False,0.0,0.0
Afganistán,2019,2,False,0.0,0.0
Afganistán,2019,3,False,0.0,0.0
Afganistán,2019,4,False,0.0,0.0
Afganistán,2020,1,False,0.0,0.0
Afganistán,2020,2,False,0.0,0.0
Afganistán,2020,3,False,0.0,0.0
Afganistán,2020,4,False,0.0,0.0
Afganistán,2021,1,False,0.0,0.0
Afganistán,2021,2,False,0.0,0.0
Afganistán,2021,3,False,0.0,0.0
Afganistán,2021,4,False,0.0,0.0
Afganistán,2022,1,False,0.0,0.0
Afganistán,2022,2,False,0.0,0.0
Afganistán,2022,3,True,,
Afganistán,2022,4,True,,
Afganistán,2023,1,False,0.0,0.0
Afganistán,2023,2,False,0.0,0.0
Afganistán,2023,3,False,0.0,0.0
Afganistán,2023,4,False,0.0,0.0
Afganistán,2024,1,False,0.0,0.0
Afganistán,2024,2,False,0.0,0.0
Afganistán,2024,3,False,0.0,0.0
Afganistán,2024,4,False,0.0,0.0
Afganistán,2025,1,False,0.0,0.0
Afganistán,2025,2,False,0.0,0.0
Afganistán,2025,3,False,0.0,0.0
Afganistán,2025,4,False,0.0,0.0
Albania,2006,1,False,0.0,0.0
Albania,2006,2,False,0.0,0.0
Albania,2006,3,True,,
Albania,2006,4,True,,
Albania,2007,1,False,0.0,0.0
Albania,2007,2,False,0.0,0.0
Albania,2007,3,False,0.0,0.0
Albania,2007,4,False,0.0,0.0
Albania,2008,1,False,0.0,0.0
Albania,2008,2,False,0.0,0.0
Albania,2008,3,False,0.0,0.0
Albania,2008,4,False,0.0,0.0
Albania,2009,1,False,0.0,0.0
Albania,2009,2,False,0.0,0.0
Albania,2009,3,False,0.0,0.0
Albania,2009,4,False,0.0,0.0
Albania,2010,1,False,0.0,0.0
Albania,2010,2,False,0.0,0.0
Albania,2010,3,False,0.0,0.0
Albania,2010,4,False,0.0,0.0
Albania,2011,1,False,0.0,0.0
Albania,2011,2,False,0.0,0.0
Albania,2011,3,False,0.0,0.0
Albania,2011,4,False,0.0,0.0
Albania,2012,1,False,0.0,0.0
Albania,2012,2,False,0.0,0.0
Albania,2012,3,False,0.0,0.0
Albania,2012,4,False,0.0,0.0
Albania,2013,1,False,0.0,0.0
Albania,2013,2,False,0.0,0.0
Albania,2013,3,False,0.0,0.0
Albania,2013,4,False,0.0,0.0
Albania,2014,1,False,0.0,0.0
Albania,2014,2,False,0.0,0.0
Albania,2014,3,False,0.0,0.0
Albania,2014,4,False,0.0,0.0
Albania,2015,1,False,0.0,0.0
Albania,2015,2,False,0.0,0.0
Albania,2015,3,False,0.0,0.0
Albania,2015,4,False,0.0,0.0
Albania,2016,1,False,0.0,0.0
Albania,2016,2,False,0.0,0.0
Albania,2016,3,False,0.0,0.0
Albania,2016,4,False,0.0,0.0
Albania,2017,1,False,0.0,0.0
Albania,2017,2,False,0.0,0.0
Albania,2017,3,True,,
Albania,2017,4,True,,
Albania,2018,1,False,0.0,0.0
Albania,2018,2,False,0.0,0.0
Albania,2018,3,False,0.0,0.0
Albania,2018,4,False,0.0,0.0
Albania,2019,1,False,0.0,0.0
Albania,2019,2,False,0.0,0.0
Albania,2019,3,False,0.0,0.0
Albania,2019,4,True,,
Albania,2020,1,False,0.0,0.0
Albania,2020,2,False,0.0,0.0
Albania,2020,3,False,0.0,0.0
Albania,2020,4,False,0.0,0.0
Albania,2021,1,False,0.0,0.0
Albania,2021,2,False,0.0,0.0
Albania,2021,3,False,0.0,0.0
