sector_subsector_rama,anio,trimestre,scian_codigo,scian_nivel,sector,confidencial,ied_acumulado_mdd,flujo_mdd
"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2006,1,11,sector,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",False,-3.478962,-3.478962
"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2006,2,11,sector,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",False,-14.732333,-11.253371000000001
"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2006,3,11,sector,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",False,-11.507457,3.224876
"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2006,4,11,sector,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",False,1.492793,13.000250000000001
"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2007,1,11,sector,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",False,-21.898871,-21.898871
"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2007,2,11,sector,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",False,-29.07559324,-7.17672224
"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2007,3,11,sector,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",False,-17.29724824,11.778345000000002
"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2007,4,11,sector,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",False,-7.57690024,9.720347999999998
"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2008,1,11,sector,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",False,22.38295388,22.38295388
"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2008,2,11,sector,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",False,61.60739988,39.224446
"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2008,3,11,sector,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",False,65.64153043,4.03413055
"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2008,4,11,sector,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",False,126.4681044,60.82657397
"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2009,1,11,sector,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",False,-3.88634128,-3.88634128
"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2009,2,11,sector,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",False,-8.96855528,-5.0822140000000005
"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2009,3,11,sector,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",False,-16.50420728,-7.535651999999999
"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2009,4,11,sector,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",False,-8.58940328,7.914803999999998
"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2010,1,11,sector,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",False,15.073886,15.073886
"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2010,2,11,sector,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",False,15.48073629,0.4068502899999995
"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2010,3,11,sector,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",False,59.69470917,44.21397288
"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2010,4,11,sector,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",False,134.0535427,74.35883353
"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2011,1,11,sector,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",False,71.41590074,71.41590074
"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2011,2,11,sector,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",False,87.09120452,15.675303780000007
"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2011,3,11,sector,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",False,100.1607193,13.069514779999992
"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2011,4,11,sector,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",False,173.4891944,73.3284751
"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2012,1,11,sector,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",False,12.65974073,12.65974073
"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2012,2,11,sector,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",False,49.34100173,36.681261000000006
"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2012,3,11,sector,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",False,131.8021787,82.46117697000001
"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2012,4,11,sector,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",False,195.1788042,63.37662549999999
"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2013,1,11,sector,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",False,90.62572381,90.62572381
"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2013,2,11,sector,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",False,160.4360668,69.81034299
"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2013,3,11,sector,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",False,202.8820043,42.445937500000014
"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2013,4,11,sector,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",False,317.3250773,114.44307299999997
"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2014,1,11,sector,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",False,136.1419442,136.1419442
"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2014,2,11,sector,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",False,231.0506651,94.90872089999999
"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2014,3,11,sector,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",False,253.7259701,22.67530500000001
"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2014,4,11,sector,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",False,255.9040321,2.178061999999983
"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2015,1,11,sector,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",False,216.4491418,216.4491418
"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2015,2,11,sector,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",False,225.4672167,9.018074899999988
