tipo_inversion,anio,trimestre,confidencial,ied_acumulado_mdd,flujo_mdd
Cuentas entre compañías,2006,1,False,1700.796301,1700.796301
Cuentas entre compañías,2006,2,False,3692.552306,1991.756005
Cuentas entre compañías,2006,3,False,4581.716958,889.1646519999999
Cuentas entre compañías,2006,4,False,6160.97813,1579.2611720000004
Cuentas entre compañías,2007,1,False,2018.100507,2018.100507
Cuentas entre compañías,2007,2,False,3411.13402,1393.0335129999999
Cuentas entre compañías,2007,3,False,4541.069925,1129.9359049999998
Cuentas entre compañías,2007,4,False,5856.563432,1315.4935070000001
Cuentas entre compañías,2008,1,False,734.930438,734.930438
Cuentas entre compañías,2008,2,False,3286.324573,2551.394135
Cuentas entre compañías,2008,3,False,4861.999015,1575.6744420000005
Cuentas entre compañías,2008,4,False,7120.10793,2258.108915
Cuentas entre compañías,2009,1,False,1914.215206,1914.215206
Cuentas entre compañías,2009,2,False,2637.357402,723.142196
Cuentas entre compañías,2009,3,False,3252.761908,615.4045059999999
Cuentas entre compañías,2009,4,False,1476.34836,-1776.413548
Cuentas entre compañías,2010,1,False,3369.955206,3369.955206
Cuentas entre compañías,2010,2,False,3806.99410109,437.0388950900001
Cuentas entre compañías,2010,3,False,5404.16583709,1597.1717360000002
Cuentas entre compañías,2010,4,False,6247.20630835,843.0404712599993
Cuentas entre compañías,2011,1,False,298.74355688,298.74355688
Cuentas entre compañías,2011,2,False,663.48907575,364.74551886999996
Cuentas entre compañías,2011,3,False,1494.54832682,831.0592510700001
Cuentas entre compañías,2011,4,False,5177.04381037,3682.49548355
Cuentas entre compañías,2012,1,False,746.70083614,746.70083614
Cuentas entre compañías,2012,2,False,2107.87672377,1361.17588763
Cuentas entre compañías,2012,3,False,4854.13695707,2746.2602333
Cuentas entre compañías,2012,4,False,6789.12268646,1934.9857293900004
Cuentas entre compañías,2013,1,False,2027.41831301,2027.41831301
Cuentas entre compañías,2013,2,False,3855.23969662,1827.8213836099999
Cuentas entre compañías,2013,3,False,5780.53092441,1925.29122779
Cuentas entre compañías,2013,4,False,7819.210404,2038.6794795900005
Cuentas entre compañías,2014,1,False,1202.69227547,1202.69227547
Cuentas entre compañías,2014,2,False,3299.50237557,2096.8101001
Cuentas entre compañías,2014,3,False,4852.64291822,1553.14054265
Cuentas entre compañías,2014,4,False,6551.73828683,1699.0953686100002
Cuentas entre compañías,2015,1,False,180.26722899,180.26722899
Cuentas entre compañías,2015,2,False,1006.45637527,826.1891462799999
Cuentas entre compañías,2015,3,False,5291.62814996,4285.17177469
Cuentas entre compañías,2015,4,False,10539.3372028,5247.7090528399995
Cuentas entre compañías,2016,1,False,1619.35545011,1619.35545011
Cuentas entre compañías,2016,2,False,4026.23431053,2406.87886042
Cuentas entre compañías,2016,3,False,5793.41161829,1767.1773077599996
Cuentas entre compañías,2016,4,False,9514.90185172,3721.4902334300004
Cuentas entre compañías,2017,1,False,166.35787044,166.35787044
Cuentas entre compañías,2017,2,False,2515.54311891,2349.18524847
Cuentas entre compañías,2017,3,False,5176.49778452,2660.95466561
Cuentas entre compañías,2017,4,False,10096.08534383,4919.58755931
Cuentas entre compañías,2018,1,False,679.51439047,679.51439047
