anio,cpi_promedio,meses
2006,201.5583333333333,12
2007,207.34416666666667,12
2008,215.25424999999998,12
2009,214.56466666666665,12
2010,218.0761666666667,12
2011,224.923,12
2012,229.58608333333333,12
2013,232.95174999999998,12
2014,236.715,12
2015,237.00175000000002,12
2016,240.00541666666666,12
2017,245.121,12
2018,251.0995,12
2019,255.65258333333335,12
2020,258.85575,12
2021,270.97341666666665,12
2022,292.62641666666667,12
2023,304.70300000000003,12
2024,313.6981666666667,12
2025,321.9619090909091,12
