entidad_federativa,anio,trimestre,confidencial,ied_acumulado_mdd,flujo_mdd
Aguascalientes,2018,1,False,76.96118607,76.96118607
Aguascalientes,2018,2,False,746.2198644,669.2586783300001
Aguascalientes,2018,3,False,870.3007984,124.08093399999996
Aguascalientes,2018,4,False,1140.895315,270.5945166
Aguascalientes,2019,1,False,83.47730844,83.47730844
Aguascalientes,2019,2,False,280.8856715,197.40836306
Aguascalientes,2019,3,False,312.2482145,31.362543000000016
Aguascalientes,2019,4,False,472.1148368,159.86662229999996
Aguascalientes,2020,1,False,183.5890096,183.5890096
Aguascalientes,2020,2,False,226.9628869,43.373877300000004
Aguascalientes,2020,3,False,360.7066525,133.74376560000002
Aguascalientes,2020,4,False,759.1995024,398.4928499
Aguascalientes,2021,1,False,112.4065511,112.4065511
Aguascalientes,2021,2,False,238.0387725,125.63222139999999
Aguascalientes,2021,3,False,169.0260466,-69.01272589999999
Aguascalientes,2021,4,False,33.42883813,-135.59720847
Aguascalientes,2022,1,False,250.8566848,250.8566848
Aguascalientes,2022,2,False,418.6052497,167.7485649
Aguascalientes,2022,3,False,462.4214545,43.81620479999998
Aguascalientes,2022,4,False,594.8694046,132.44795010000007
Aguascalientes,2023,1,False,174.4536026,174.4536026
Aguascalientes,2023,2,False,1240.266186,1065.8125834
Aguascalientes,2023,3,False,1393.275271,153.0090849999999
Aguascalientes,2023,4,False,1379.152897,-14.122374000000036
Aguascalientes,2024,1,False,-89.58034744,-89.58034744
Aguascalientes,2024,2,False,394.1288797,483.70922714000005
Aguascalientes,2024,3,False,724.8797007,330.7508209999999
Aguascalientes,2024,4,False,993.069874,268.1901733000001
Aguascalientes,2025,1,False,109.8530806,109.8530806
Aguascalientes,2025,2,False,394.5921898,284.73910920000003
Aguascalientes,2025,3,False,200.4318213,-194.16036850000003
Aguascalientes,2025,4,False,-334.1243063,-534.5561276
Aguascalientes,2026,1,False,342.0507487,342.0507487
Baja California,2018,1,False,428.0427995,428.0427995
Baja California,2018,2,False,784.7200178,356.67721830000005
Baja California,2018,3,False,1027.802356,243.08233819999987
Baja California,2018,4,False,1476.797014,448.9946580000001
Baja California,2019,1,False,411.6368177,411.6368177
Baja California,2019,2,False,636.4991653,224.86234759999996
Baja California,2019,3,False,985.6539082,349.1547429000001
Baja California,2019,4,False,948.5380967,-37.11581150000006
Baja California,2020,1,False,500.9823447,500.9823447
Baja California,2020,2,False,761.199707,260.2173623
Baja California,2020,3,False,927.9450131,166.7453061
Baja California,2020,4,False,1104.748878,176.80386490000012
Baja California,2021,1,False,295.1646972,295.1646972
Baja California,2021,2,False,1625.823745,1330.6590477999998
Baja California,2021,3,False,1924.075376,298.2516310000001
Baja California,2021,4,False,2212.812735,288.73735899999997
Baja California,2022,1,False,839.563989,839.563989
Baja California,2022,2,False,1133.434871,293.87088199999994
Baja California,2022,3,False,1533.632459,400.197588
Baja California,2022,4,False,1877.305514,343.673055
Baja California,2023,1,False,785.0663057,785.0663057
Baja California,2023,2,False,1463.27116,678.2048543
Baja California,2023,3,False,1190.330753,-272.94040700000005
Baja California,2023,4,False,1472.804917,282.474164
Baja California,2024,1,False,1082.632868,1082.632868
Baja California,2024,2,False,1809.065877,726.4330090000001
Baja California,2024,3,False,1998.277994,189.21211700000003
Baja California,2024,4,False,2478.525348,480.2473540000001
Baja California,2025,1,False,857.1245602,857.1245602
Baja California,2025,2,False,1576.561107,719.4365468
Baja California,2025,3,False,1783.354014,206.792907
Baja California,2025,4,False,1892.340941,108.98692699999992
Baja California,2026,1,False,1394.453728,1394.453728
Baja California Sur,2018,1,False,134.3571115,134.3571115
Baja California Sur,2018,2,False,186.4809234,52.12381189999999
Baja California Sur,2018,3,False,320.1480824,133.66715900000003
Baja California Sur,2018,4,False,433.3165908,113.16850839999995
