pais_origen,anio,trimestre,confidencial,ied_acumulado_mdd,flujo_mdd
Afganistán,2018,1,False,0.0,0.0
Afganistán,2018,2,False,0.0,0.0
Afganistán,2018,3,False,0.0,0.0
Afganistán,2018,4,False,0.0,0.0
Afganistán,2019,1,False,0.0,0.0
Afganistán,2019,2,False,0.0,0.0
Afganistán,2019,3,False,0.0,0.0
Afganistán,2019,4,False,0.0,0.0
Afganistán,2020,1,False,0.0,0.0
Afganistán,2020,2,False,0.0,0.0
Afganistán,2020,3,False,0.0,0.0
Afganistán,2020,4,False,0.0,0.0
Afganistán,2021,1,False,0.0,0.0
Afganistán,2021,2,False,0.0,0.0
Afganistán,2021,3,False,0.0,0.0
Afganistán,2021,4,False,0.0,0.0
Afganistán,2022,1,False,0.0,0.0
Afganistán,2022,2,False,0.0,0.0
Afganistán,2022,3,False,0.0,0.0
Afganistán,2022,4,False,0.0,0.0
Afganistán,2023,1,False,0.0,0.0
Afganistán,2023,2,False,0.0,0.0
Afganistán,2023,3,False,0.0,0.0
Afganistán,2023,4,False,0.0,0.0
Afganistán,2024,1,False,0.0,0.0
Afganistán,2024,2,False,0.0,0.0
Afganistán,2024,3,False,0.0,0.0
Afganistán,2024,4,False,0.0,0.0
Afganistán,2025,1,False,0.0,0.0
Afganistán,2025,2,False,0.0,0.0
Afganistán,2025,3,False,0.0,0.0
Afganistán,2025,4,False,0.0,0.0
Afganistán,2026,1,False,0.0,0.0
Albania,2018,1,False,0.0,0.0
Albania,2018,2,False,0.0,0.0
Albania,2018,3,False,0.0,0.0
Albania,2018,4,False,0.0,0.0
Albania,2019,1,False,0.0,0.0
Albania,2019,2,False,0.0,0.0
Albania,2019,3,False,0.0,0.0
Albania,2019,4,False,0.0,0.0
Albania,2020,1,False,0.0,0.0
Albania,2020,2,False,0.0,0.0
Albania,2020,3,False,0.0,0.0
Albania,2020,4,False,0.0,0.0
Albania,2021,1,False,0.0,0.0
Albania,2021,2,False,0.0,0.0
Albania,2021,3,False,0.0,0.0
Albania,2021,4,False,0.0,0.0
Albania,2022,1,False,0.0,0.0
Albania,2022,2,False,0.0,0.0
Albania,2022,3,False,0.0,0.0
Albania,2022,4,False,0.0,0.0
Albania,2023,1,True,,
Albania,2023,2,False,0.0,
Albania,2023,3,False,0.0,0.0
Albania,2023,4,False,0.0,0.0
Albania,2024,1,False,0.0,0.0
Albania,2024,2,False,0.0,0.0
Albania,2024,3,True,,
Albania,2024,4,True,,
Albania,2025,1,False,0.0,0.0
Albania,2025,2,False,5.35318023,5.35318023
Albania,2025,3,False,0.0,-5.35318023
Albania,2025,4,False,0.0,0.0
Albania,2026,1,False,0.0,0.0
Alemania,2018,1,False,3.3217482,3.3217482
Alemania,2018,2,False,1565.771153,1562.4494048
Alemania,2018,3,False,2219.865974,654.0948209999999
Alemania,2018,4,False,2604.376363,384.51038900000003
Alemania,2019,1,False,160.7376201,160.7376201
Alemania,2019,2,False,1180.385049,1019.6474289
Alemania,2019,3,False,2637.468095,1457.0830460000002
Alemania,2019,4,False,3022.077661,384.60956599999963
Alemania,2020,1,False,973.3541068,973.3541068
Alemania,2020,2,False,1217.524386,244.1702792000001
Alemania,2020,3,False,686.3933908,-531.1309952
Alemania,2020,4,False,1024.126592,337.73320120000005
Alemania,2021,1,False,268.1640917,268.1640917
