tipo_inversion,anio,trimestre,confidencial,ied_acumulado_mdd,flujo_mdd
Cuentas entre compañías,2018,1,False,832.9514698,832.9514698
Cuentas entre compañías,2018,2,False,4454.054456,3621.1029861999996
Cuentas entre compañías,2018,3,False,5234.412827,780.3583710000003
Cuentas entre compañías,2018,4,False,7884.781887,2650.36906
Cuentas entre compañías,2019,1,False,-594.7346393,-594.7346393
Cuentas entre compañías,2019,2,False,91.33514307,686.06978237
Cuentas entre compañías,2019,3,False,2252.813196,2161.47805293
Cuentas entre compañías,2019,4,False,2612.705199,359.89200299999993
Cuentas entre compañías,2020,1,False,197.2372286,197.2372286
Cuentas entre compañías,2020,2,False,5321.947607,5124.7103784
Cuentas entre compañías,2020,3,False,5845.827419,523.8798120000001
Cuentas entre compañías,2020,4,False,6575.2629,729.4354809999995
Cuentas entre compañías,2021,1,False,2629.401193,2629.401193
Cuentas entre compañías,2021,2,False,3750.254829,1120.8536359999998
Cuentas entre compañías,2021,3,False,5287.674055,1537.4192260000004
Cuentas entre compañías,2021,4,False,5582.89062,295.2165649999997
Cuentas entre compañías,2022,1,False,1376.123656,1376.123656
Cuentas entre compañías,2022,2,False,4019.490475,2643.366819
Cuentas entre compañías,2022,3,False,3575.351645,-444.13882999999987
Cuentas entre compañías,2022,4,False,2270.730168,-1304.6214770000001
Cuentas entre compañías,2023,1,False,999.2940461,999.2940461
Cuentas entre compañías,2023,2,False,4297.034324,3297.7402779000004
Cuentas entre compañías,2023,3,False,5215.00387,917.9695459999994
Cuentas entre compañías,2023,4,False,4609.993629,-605.010241
Cuentas entre compañías,2024,1,False,98.55811836,98.55811836
Cuentas entre compañías,2024,2,False,-100.5849742,-199.14309256
Cuentas entre compañías,2024,3,False,2932.281266,3032.8662402
Cuentas entre compañías,2024,4,False,4993.56343,2061.282164
Cuentas entre compañías,2025,1,False,3139.803732,3139.803732
Cuentas entre compañías,2025,2,False,2201.920392,-937.8833399999999
