anio,rango_edad,sexo,ta,ta_sal,masa_sal_ta,permanentes,no_trabajadores
2018,E2,2,229773,229708,35885286.45,195482,1785481
2018,E13,1,34315,32158,9402699.25,29894,9505
2018,E4,2,1292584,1290701,387659153.11,1112291,252646
2018,E3,2,972402,971548,204467184.16,829767,1068866
2018,E14,1,20352,18494,5344054.89,18019,16433
2018,E12,1,90303,85814,28045565.75,78354,16569
2018,E7,2,931182,926027,342360405.0,833563,28185
2018,E2,1,413212,413124,67834101.74,327900,1728349
2018,E14,2,7681,6596,2075780.73,7316,31045
2018,E4,1,2110098,2106488,677857116.88,1716548,310677
2018,E9,2,542521,536449,186979789.19,498619,39960
2018,E7,1,1496372,1484261,661940838.43,1289052,24897
2018,E10,2,348351,342612,114896702.22,323994,71333
2018,E8,1,1281528,1266417,571928272.27,1121032,21628
2018,E3,1,1652802,1651468,371512663.77,1324658,1125099
2018,E8,2,781439,775295,282311069.92,709239,29224
2018,E1,1,359,345,50784.58,197,40631
2018,E11,1,274792,264961,101915789.96,241717,48008
2018,E9,1,963678,947981,416503094.7,849094,28387
2018,E10,1,692031,676867,287758637.85,612823,84505
2018,E6,2,1045397,1041492,394959613.05,923471,36682
2018,E11,2,128545,124821,40022466.91,120204,39805
2018,E13,2,11544,10455,2944686.38,10941,13610
2018,E5,1,1871676,1866219,743220818.59,1548252,80011
2018,E1,2,92,87,12920.27,78,43290
2018,E12,2,35215,33185,9776481.92,32954,18595
2018,E5,2,1160695,1157791,421499656.89,1011276,70219
2018,E6,1,1674494,1666582,728131673.51,1415466,37561
2020,E14,1,20540,18639,6186356.080000001,18571,15169
2020,E3,1,1441651,1440430,368819920.15998936,1175408,1320373
2020,E12,2,40639,38570,12786581.590000056,38265,19434
2020,E7,1,1434702,1424910,709634333.8899977,1241339,24206
2020,E8,1,1302902,1289289,643954768.3999883,1145220,20543
2020,E13,2,12968,11850,3888586.399999992,12259,13906
2020,E1,1,231,222,50568.04,163,11814
2020,E6,1,1629171,1622284,798458198.9000013,1383674,41031
2020,E12,1,93170,88840,32952203.440000266,82393,17998
2020,E13,1,33978,31875,10923181.710000051,30162,9682
2020,E11,2,143828,140118,49823196.880000345,134572,44994
2020,E14,2,8502,7470,2602264.250000001,8121,28994
2020,E7,2,933689,928901,388324153.0299874,835969,27057
2020,E4,2,1274333,1272470,432153637.0299878,1100178,454103
2020,E9,2,587249,581378,226459476.35999292,538615,36573
2020,E2,2,163214,163162,31571685.640000116,139273,1691829
2020,E10,1,715757,702165,327981211.7199881,637235,90276
2020,E11,1,282869,273769,117282821.90999782,251980,56286
2020,E4,1,1988806,1985623,720095811.1499949,1638894,485452
2020,E1,2,46,42,10189.98,40,11246
2020,E5,2,1183947,1181086,479474028.8999879,1033604,99483
2020,E5,1,1840605,1835644,817454948.0000013,1535090,109911
2020,E9,1,994120,979913,475654664.52998453,881510,25567
2020,E8,2,822224,816391,334671362.35998875,744694,27389
2020,E2,1,293079,293016,58303603.91000032,234124,1613033
2020,E10,2,380368,375055,139757554.309997,352737,75233
2020,E3,2,895798,895030,217201249.8799943,769723,1320908
2020,E6,2,1069956,1066218,459613619.39998835,945526,40729
2022,E11,1,302731,295229,147909733.9199968,268427,68878
2022,E12,1,99555,95986,41489823.45000024,87704,20214
2022,E2,1,294838,294767,76415283.21999967,233180,1444473
2022,E11,2,159651,156630,65423846.26999996,149071,54526
2022,E13,1,35909,34265,13770845.56000001,31935,9769
2022,E14,1,20608,19080,7497218.420000018,18662,14812
2022,E10,1,799954,786923,426813961.18998975,710991,107307
2022,E8,1,1386216,1374292,808955957.1200134,1218003,22080
2022,E10,2,446041,440786,189795405.41999573,413416,87448
2022,E13,2,13702,12864,5005234.989999995,12934,13738
2022,E14,2,9125,8251,3229897.6499999934,8732,28435
