anio,cve_entidad,rango_salarial,ta,ta_sal,masa_sal_ta,permanentes,no_trabajadores,entidad
2018,13,W21,267,267,483524.00999999966,234,0,Hidalgo
2018,1,W9,8417,8417,6285560.299999996,8091,0,Aguascalientes
2018,1,W21,439,439,794661.9399999997,420,0,Aguascalientes
2018,1,W15,1576,1576,2014241.3300000003,1492,0,Aguascalientes
2018,2,,2067,0,0.0,2067,189447,Baja California
2018,2,W2,303630,303630,39023005.26999915,269855,0,Baja California
2018,2,W23,14457,14457,29091689.23000002,14088,0,Baja California
2018,2,W1,792,792,69518.4100000002,686,0,Baja California
2018,13,W5,13585,13585,5367262.229999994,10226,0,Hidalgo
2018,14,W7,65507,65507,37397441.509999976,57530,0,Jalisco
2018,14,W20,4107,4107,7074019.580000002,3845,0,Jalisco
2018,15,W5,120104,120104,47505812.27999993,98391,0,Estado México
2018,22,W1,300,300,26491.600000000042,260,0,Querétaro
2018,23,W7,10287,10287,5885163.599999988,7160,0,Quintana Roo
2018,23,W22,484,484,917295.8299999998,405,0,Quintana Roo
2018,24,W22,943,943,1787337.8799999985,866,0,San Luis Potosí
2018,24,W9,7217,7217,5404245.369999993,6210,0,San Luis Potosí
2018,24,W19,1091,1091,1781489.980000001,970,0,San Luis Potosí
2018,9,W13,39732,39732,43821428.18999998,35589,0,Ciudad de México
2018,9,W3,508513,508513,110002900.2899997,419539,0,Ciudad de México
2018,9,W10,67383,67383,56576273.23999999,59288,0,Ciudad de México
2018,9,W17,23002,23002,33526740.279999964,21228,0,Ciudad de México
2018,9,,3701,0,0.0,3701,1218610,Ciudad de México
2018,26,W3,127016,127016,27297535.629999913,109434,0,Sonora
2018,26,W22,978,978,1853811.979999999,907,0,Sonora
2018,11,W1,639,639,56382.14000000013,596,0,Guanajuato
2018,11,,1060,0,0.0,1060,254286,Guanajuato
2018,12,W15,765,765,981232.4800000002,679,0,Guerrero
2018,12,W10,1678,1678,1406491.5700000003,1277,0,Guerrero
2018,16,W20,820,820,1412900.9499999997,680,0,Michoacán de Ocampo
2018,32,W5,13502,13502,5357002.629999999,11621,0,Zacatecas
2018,32,W20,238,238,409646.3699999999,220,0,Zacatecas
2018,32,W10,2527,2527,2121439.2699999968,2105,0,Zacatecas
2018,32,W14,910,910,1086105.5700000005,758,0,Zacatecas
2018,32,W1,110,110,9691.4,78,0,Zacatecas
2018,3,W22,306,306,579723.1900000001,273,0,Baja California Sur
2018,10,W19,395,395,644234.8599999999,375,0,Durango
2018,10,W13,1291,1291,1419904.2200000007,1167,0,Durango
2018,10,W21,271,271,490615.2300000002,263,0,Durango
2018,31,W7,48625,48625,27248560.309999984,47711,0,Yucatán
2018,4,W17,714,714,1039346.9100000001,625,0,Campeche
2018,4,W4,10655,10655,3274460.0900000026,8583,0,Campeche
2018,4,W1,23,23,2032.2799999999988,21,0,Campeche
2018,5,W6,44114,44114,21357151.539999977,38612,0,Coahuila de Zaragoza
2018,5,W12,7446,7446,7558160.620000005,6536,0,Coahuila de Zaragoza
2018,5,W9,15828,15828,11848957.22999999,13784,0,Coahuila de Zaragoza
2018,5,W22,1446,1446,2742343.450000001,1358,0,Coahuila de Zaragoza
2018,18,W21,78,78,141310.75999999998,68,0,Nayarit
2018,21,W3,108215,108215,23343374.240000002,84196,0,Puebla
2018,21,W4,58995,58995,18041407.360000033,48977,0,Puebla
2018,25,W6,20013,20013,9669039.929999975,16652,0,Sinaloa
2018,25,W17,948,948,1379611.1899999995,881,0,Sinaloa
2018,30,W14,5683,5683,6760857.319999998,5277,0,Veracruz de Ignacio de la Llave
2018,30,W23,8588,8588,17278051.879999995,8221,0,Veracruz de Ignacio de la Llave
2018,30,,32395,0,0.0,32395,456365,Veracruz de Ignacio de la Llave
2018,27,W7,4760,4760,2723124.169999997,4032,0,Tabasco
2018,27,W23,1839,1839,3700099.65,1737,0,Tabasco
2018,28,W4,92430,92430,28275776.72000003,83514,0,Tamaulipas
2018,28,W14,3704,3704,4412882.789999999,3405,0,Tamaulipas
2018,28,W21,1163,1163,2107375.5700000003,1081,0,Tamaulipas
2018,7,W4,18485,18485,5690651.319999984,16382,0,Chiapas
2018,7,W22,353,353,667776.1700000002,340,0,Chiapas
2018,7,W5,11878,11878,4702442.790000011,10553,0,Chiapas
2018,8,W8,20655,20655,13645052.740000002,18753,0,Chihuahua
2018,29,W2,41423,41423,5094022.459999965,30746,0,Tlaxcala
2018,29,W8,2230,2230,1470689.1,1995,0,Tlaxcala
2018,29,W9,1366,1366,1025603.5000000008,1196,0,Tlaxcala
2018,29,W15,459,459,585610.3799999997,426,0,Tlaxcala
2018,29,W10,1026,1026,860095.0499999999,911,0,Tlaxcala
2018,29,W19,177,177,288486.38,167,0,Tlaxcala
2018,20,W21,169,169,306397.12,163,0,Oaxaca
2018,1,W8,9795,9795,6467226.200000004,9242,0,Aguascalientes
2018,1,W6,17649,17649,8547446.899999965,16630,0,Aguascalientes
2018,1,W10,4665,4665,3917025.189999996,4438,0,Aguascalientes
2018,2,W8,20521,20521,13534613.85000002,18647,0,Baja California
2018,2,W7,26920,26920,15351429.63999999,24647,0,Baja California
2018,2,W21,2016,2016,3648954.380000003,1929,0,Baja California
2018,2,W19,2694,2694,4396842.179999996,2550,0,Baja California
2018,13,W8,5886,5886,3864533.0599999996,4146,0,Hidalgo
2018,13,W14,1164,1164,1392776.52,977,0,Hidalgo
2018,14,W6,84746,84746,41133766.84999995,74130,0,Jalisco
2018,15,W4,193228,193228,59213103.98000026,155443,0,Estado México
2018,15,W15,8317,8317,10637248.399999999,7512,0,Estado México
2018,15,W16,6998,6998,9580327.18,6345,0,Estado México
2018,15,W22,3169,3169,6003518.389999997,2891,0,Estado México
2018,19,W9,32742,32742,24539412.43000001,29766,0,Nuevo León
2018,19,W12,16662,16662,16911654.250000007,15311,0,Nuevo León
2018,19,W8,46512,46512,30712134.059999987,41676,0,Nuevo León
2018,19,W20,4685,4685,8070237.159999998,4429,0,Nuevo León
2018,19,W18,6024,6024,9309250.030000003,5658,0,Nuevo León
2018,19,W17,7412,7412,10800316.07,6992,0,Nuevo León
2018,5,W4,93511,93511,28641372.250000037,80663,0,Coahuila de Zaragoza
2018,22,W5,43684,43684,17257450.860000014,34979,0,Querétaro
2018,22,W14,4741,4741,5662641.690000003,4116,0,Querétaro
2018,24,W5,31968,31968,12631814.490000019,26305,0,San Luis Potosí
2018,9,W8,108031,108031,71268965.25999999,94108,0,Ciudad de México
2018,9,W18,18775,18775,29025037.539999977,17328,0,Ciudad de México
2018,26,W6,26615,26615,12896216.509999963,22859,0,Sonora
2018,11,W14,4874,4874,5818089.7499999935,4360,0,Guanajuato
2018,11,W20,1481,1481,2551196.8800000004,1329,0,Guanajuato
2018,12,W2,82342,82342,9630772.099999718,67348,0,Guerrero
2018,12,W6,6093,6093,2953356.570000005,4884,0,Guerrero
2018,16,W6,25392,25392,12292073.94,22309,0,Michoacán de Ocampo
2018,16,W7,15454,15454,8804215.259999992,13459,0,Michoacán de Ocampo
2018,16,W19,781,781,1275412.13,670,0,Michoacán de Ocampo
2018,32,W3,35306,35306,7565618.619999999,29818,0,Zacatecas
2018,32,W6,9506,9506,4628810.689999992,7978,0,Zacatecas
2018,32,W16,688,688,943704.3800000009,599,0,Zacatecas
2018,3,W11,1584,1584,1466439.3699999982,1222,0,Baja California Sur
2018,10,W4,22459,22459,6887657.290000002,19629,0,Durango
2018,10,W14,1288,1288,1539378.7300000002,1140,0,Durango
2018,31,W19,536,536,875345.3399999997,521,0,Yucatán
2018,31,W21,299,299,541591.53,286,0,Yucatán
2018,31,W17,831,831,1213541.7200000002,795,0,Yucatán
2018,4,W3,17882,17882,3874975.2700000075,14705,0,Campeche
2018,4,W10,2104,2104,1756560.4399999983,1506,0,Campeche
2018,5,W5,62519,62519,24737494.450000048,54924,0,Coahuila de Zaragoza
2018,5,W8,22621,22621,14925492.179999974,19829,0,Coahuila de Zaragoza
2018,5,W13,5873,5873,6474994.959999994,5122,0,Coahuila de Zaragoza
2018,5,W16,3538,3538,4842012.929999999,3257,0,Coahuila de Zaragoza
2018,18,W17,294,294,427252.8700000001,261,0,Nayarit
2018,21,W6,24755,24755,11996748.880000012,20719,0,Puebla
2018,25,W18,844,844,1310964.3899999997,804,0,Sinaloa
