anio,cve_entidad,sexo,ta,ta_sal,masa_sal_ta,permanentes,no_trabajadores,entidad
2018,28,2,255440,254317,73541438.72000036,234996,78580,Tamaulipas
2018,3,1,117847,117562,39000733.11000037,78853,25962,Baja California Sur
2018,22,2,216356,215944,76373788.13000007,181776,58971,Querétaro
2018,2,2,357795,357079,110414972.56000039,334882,97553,Baja California
2018,15,2,583347,582909,179361800.62000358,490663,367047,Estado México
2018,21,2,222854,221406,61985152.52000232,192255,200649,Puebla
2018,19,2,543146,542894,193828963.02999955,495571,151398,Nuevo León
2018,19,1,1075513,1074506,443636786.5899981,964080,171926,Nuevo León
2018,27,1,113748,111072,34142338.870001145,93138,79676,Tabasco
2018,31,1,237346,236458,72310762.46000254,209668,57057,Yucatán
2018,6,1,84334,82974,27020345.06999961,66037,24704,Colima
2018,16,1,274562,269395,88141663.00000519,219032,119556,Michoacán de Ocampo
2018,20,2,79609,78538,21105160.36000043,72658,77845,Oaxaca
2018,25,2,196369,195164,47900294.95000069,174596,145166,Sinaloa
2018,31,2,129396,129351,38598405.26000042,121269,52574,Yucatán
2018,4,1,85534,84740,35793977.690000184,66325,26720,Campeche
2018,18,1,83943,79693,22958840.709999554,62956,37987,Nayarit
2018,14,1,1089755,1077401,393991621.65000194,918496,196965,Jalisco
2018,26,2,233434,232715,61899974.86000117,211552,92472,Sonora
2018,22,1,363208,362727,155208797.1299967,288680,60815,Querétaro
2018,25,1,326057,321486,89008406.31000267,270364,139388,Sinaloa
2018,7,2,81444,79180,23158147.220001012,75912,88482,Chiapas
2018,10,1,161965,161219,48311487.40000017,142906,40026,Durango
2018,14,2,676413,671108,217183642.470003,588635,206479,Jalisco
2018,21,1,396619,393280,135493352.84999567,330920,194476,Puebla
2018,23,1,303354,302436,78458090.80999945,202136,36434,Quintana Roo
2018,12,2,60846,60205,15967067.65999971,51503,85995,Guerrero
2018,13,2,79605,79468,21482231.41999961,66503,85101,Hidalgo
2018,28,1,419434,417086,150601843.5200032,368311,84172,Tamaulipas
2018,29,1,63045,62942,20533994.579999767,47087,38878,Tlaxcala
2018,9,2,1400468,1398776,592661757.6599965,1233312,593811,Ciudad de México
2018,17,2,82790,80888,25724327.46999962,73970,51946,Morelos
2018,20,1,132196,129004,38580882.140002206,113260,76234,Oaxaca
2018,1,1,207147,206305,74896795.97000144,186982,44099,Aguascalientes
2018,15,1,1038802,1038111,376921319.519994,847797,368274,Estado México
2018,24,1,277073,271288,104057190.53000152,218402,69234,San Luis Potosí
2018,9,1,2033364,2031355,935341608.499994,1729975,624799,Ciudad de México
2018,32,2,65068,64936,18829594.79999989,57839,43058,Zacatecas
2018,8,1,533477,527863,196919990.79000172,475536,104165,Chihuahua
