anio,cve_entidad,rango_uma,ta,ta_sal,masa_sal_ta,permanentes,no_trabajadores,entidad
2018,20,W7,7127,7127,3737262.110000002,6153,0,Oaxaca
2018,1,W7,15232,15232,7974205.499999971,14264,0,Aguascalientes
2018,1,W13,2392,2392,2411839.7099999967,2256,0,Aguascalientes
2018,1,W21,517,517,853055.2999999996,495,0,Aguascalientes
2018,2,W6,44761,44761,19749294.41000002,39333,0,Baja California
2018,2,W16,3838,3838,4792337.6700000055,3639,0,Baja California
2018,11,W7,39400,39400,20640848.14,34158,0,Guanajuato
2018,11,W17,3394,3394,4511571.279999997,3120,0,Guanajuato
2018,11,W21,1567,1567,2588502.930000001,1430,0,Guanajuato
2018,12,W5,8885,8885,3185278.3199999947,6940,0,Guerrero
2018,12,W8,3792,3792,2290137.5600000042,3210,0,Guerrero
2018,12,W12,1315,1315,1215058.7800000003,975,0,Guerrero
2018,12,W18,501,501,706803.79,472,0,Guerrero
2018,12,W11,1504,1504,1271016.5799999998,1134,0,Guerrero
2018,14,W6,84753,84753,37379752.53999996,72792,0,Jalisco
2018,14,W10,33755,33755,25787926.609999992,31007,0,Jalisco
2018,14,W21,4181,4181,6907870.319999998,3894,0,Jalisco
2018,16,W10,5505,5505,4204170.529999996,4930,0,Michoacán de Ocampo
2018,16,W11,3688,3688,3124131.639999997,3138,0,Michoacán de Ocampo
2018,17,W13,1874,1874,1887958.8199999994,1670,0,Morelos
2018,17,W23,374,374,680806.8899999998,353,0,Morelos
2018,19,W3,317823,317823,63316888.86999996,281054,0,Nuevo León
2018,19,W11,22769,22769,19260687.149999995,20728,0,Nuevo León
2018,20,W10,3589,3589,2728671.739999999,3214,0,Oaxaca
2018,20,W14,1149,1149,1248019.6400000001,1012,0,Oaxaca
2018,21,W12,6740,6740,6228054.7999999905,5873,0,Puebla
2018,21,W25,9943,9943,20009319.53999999,9072,0,Puebla
2018,24,W14,3514,3514,3822753.460000001,2988,0,San Luis Potosí
2018,25,W10,4885,4885,3731231.5299999993,4366,0,Sinaloa
2018,25,W21,514,514,848354.9600000001,479,0,Sinaloa
2018,30,W18,3081,3081,4346418.620000001,2915,0,Veracruz de Ignacio de la Llave
2018,30,W22,1348,1348,2336258.7299999995,1297,0,Veracruz de Ignacio de la Llave
2018,30,,32395,0,0.0,32395,456365,Veracruz de Ignacio de la Llave
2018,31,,933,0,0.0,933,109631,Yucatán
2018,31,W13,1738,1738,1749651.8199999994,1603,0,Yucatán
2018,31,W12,1815,1815,1680349.0899999994,1657,0,Yucatán
2018,9,W3,528064,528064,104452142.48999916,437707,0,Ciudad de México
2018,9,W6,174676,174676,76927296.58999991,148317,0,Ciudad de México
2018,9,W7,145274,145274,75879946.64999984,124507,0,Ciudad de México
2018,9,W23,12190,12190,22107664.410000004,11351,0,Ciudad de México
2018,9,W17,26974,26974,35864263.02999999,24794,0,Ciudad de México
2018,26,W13,4255,4255,4286244.129999999,3797,0,Sonora
2018,26,W12,5352,5352,4952992.780000005,4731,0,Sonora
2018,15,W16,8890,8890,11080087.28,7996,0,Estado México
2018,28,W6,32848,32848,14459918.929999975,29094,0,Tamaulipas
2018,28,W7,28664,28664,15061773.620000007,26008,0,Tamaulipas
2018,28,W4,98976,98976,27519517.790000007,89094,0,Tamaulipas
2018,28,,3471,0,0.0,3471,162752,Tamaulipas
2018,28,W21,1398,1398,2306995.5700000003,1327,0,Tamaulipas
2018,28,W23,1076,1076,1951747.26,997,0,Tamaulipas
2018,3,W4,19291,19291,5398880.260000003,13376,0,Baja California Sur
2018,3,W24,300,300,567171.8,268,0,Baja California Sur
2018,13,W12,1823,1823,1686301.9100000006,1519,0,Hidalgo
2018,13,W10,3622,3622,2755958.4299999983,2899,0,Hidalgo
2018,13,W2,96078,96078,10953117.0299988,78978,0,Hidalgo
2018,13,W15,993,993,1162092.3899999994,824,0,Hidalgo
2018,4,,1014,0,0.0,1014,52047,Campeche
2018,4,W23,307,307,556830.2400000002,254,0,Campeche
2018,4,W14,1151,1151,1251108.6699999992,784,0,Campeche
2018,4,W13,1410,1410,1413142.33,1042,0,Campeche
2018,4,W22,346,346,599473.9899999999,288,0,Campeche
2018,5,W1,323,323,28388.58000000003,178,0,Coahuila de Zaragoza
2018,23,W3,78554,78554,15376474.519999959,51385,0,Quintana Roo
2018,23,W11,3446,3446,2915549.449999998,2616,0,Quintana Roo
2018,23,W23,400,400,725455.0499999999,319,0,Quintana Roo
2018,32,W3,37129,37129,7307149.970000026,31930,0,Zacatecas
2018,32,W16,765,765,953796.22,672,0,Zacatecas
2018,32,W23,290,290,526108.9799999999,262,0,Zacatecas
2018,6,W4,13640,13640,3778243.770000008,10100,0,Colima
2018,6,W8,3122,3122,1886068.8600000003,2487,0,Colima
2018,6,W15,810,810,951794.5,649,0,Colima
2018,6,W20,242,242,379592.5199999999,214,0,Colima
2018,6,W23,152,152,275735.37000000005,128,0,Colima
2018,6,W1,67,67,5882.519999999997,60,0,Colima
2018,27,W9,3063,3063,2092147.0999999992,2537,0,Tabasco
2018,27,W13,1137,1137,1143891.44,920,0,Tabasco
2018,27,W25,1856,1856,3733059.459999999,1753,0,Tabasco
2018,7,W17,800,800,1062603.9300000002,767,0,Chiapas
2018,7,W21,397,397,654772.2099999998,376,0,Chiapas
2018,7,W24,345,345,651745.3100000002,333,0,Chiapas
2018,8,,6751,0,0.0,6751,211993,Chihuahua
2018,8,W5,67688,67688,24320678.810000055,61020,0,Chihuahua
2018,8,W20,2673,2673,4195060.19,2572,0,Chihuahua
2018,8,W19,3020,3020,4507891.179999998,2877,0,Chihuahua
2018,18,W8,3259,3259,1968247.3300000008,2739,0,Nayarit
2018,18,W18,326,326,459930.8100000001,294,0,Nayarit
2018,18,W23,70,70,127076.47,61,0,Nayarit
2018,10,W6,9605,9605,4226653.140000002,8466,0,Durango
2018,10,W5,14856,14856,5328830.090000007,12888,0,Durango
2018,10,W7,7203,7203,3755073.3800000045,6491,0,Durango
2018,10,W9,3830,3830,2618221.839999999,3512,0,Durango
2018,10,W19,507,507,754313.27,486,0,Durango
2018,29,W17,346,346,460192.0400000004,318,0,Tlaxcala
2018,29,W14,580,580,630277.1400000007,503,0,Tlaxcala
2018,1,W4,35972,35972,10048161.649999993,32180,0,Aguascalientes
2018,1,W11,4262,4262,3608098.15,4068,0,Aguascalientes
2018,1,W23,386,386,699616.5099999998,368,0,Aguascalientes
2018,2,W18,3211,3211,4526228.170000002,2960,0,Baja California
2018,2,W15,4460,4460,5209105.85,4163,0,Baja California
2018,2,W7,30863,30863,16119816.059999973,28289,0,Baja California
2018,2,W11,10180,10180,8601541.510000017,9501,0,Baja California
2018,2,W24,1726,1726,3263369.7500000014,1667,0,Baja California
2018,2,W21,2343,2343,3867498.229999998,2218,0,Baja California
2018,11,W11,10411,10411,8793686.030000005,9170,0,Guanajuato
2018,11,W9,19015,19015,13057827.21,16815,0,Guanajuato
2018,11,W24,1375,1375,2600624.130000001,1231,0,Guanajuato
2018,12,W16,656,656,821147.71,573,0,Guerrero
2018,12,W10,2399,2399,1822500.13,1951,0,Guerrero
2018,12,W22,250,250,432569.78000000014,237,0,Guerrero
2018,14,W11,25816,25816,21762512.65999998,23539,0,Jalisco
2018,16,W8,12082,12082,7264132.20999999,10665,0,Michoacán de Ocampo
2018,16,W21,683,683,1129269.5399999996,573,0,Michoacán de Ocampo
2018,17,W10,3930,3930,2985631.5600000015,3462,0,Morelos
2018,17,W18,814,814,1148133.6499999994,770,0,Morelos
2018,17,W16,1171,1171,1458747.1000000006,1087,0,Morelos
2018,19,W13,15428,15428,15532046.100000007,14140,0,Nuevo León
2018,19,W16,9614,9614,12015438.420000002,8946,0,Nuevo León
2018,19,W21,4650,4650,7681774.399999996,4413,0,Nuevo León
2018,19,W15,10542,10542,12311861.309999991,9755,0,Nuevo León
2018,20,W2,94464,94464,10976748.159998704,83652,0,Oaxaca
2018,20,W5,10241,10241,3690866.0700000073,8483,0,Oaxaca
2018,20,W15,889,889,1036330.5200000014,775,0,Oaxaca
2018,20,W25,1088,1088,2187989.3099999987,1062,0,Oaxaca
2018,21,W13,5130,5130,5165476.349999999,4583,0,Puebla
2018,21,W1,391,391,34476.96000000002,336,0,Puebla
2018,24,W4,55885,55885,15604320.979999961,41713,0,San Luis Potosí
2018,24,W9,8352,8352,5704998.4799999995,7148,0,San Luis Potosí
2018,25,W25,3010,3010,6054823.8,2732,0,Sinaloa
2018,25,W16,1675,1675,2085329.8499999996,1549,0,Sinaloa
2018,25,W12,2875,2875,2663841.120000002,2556,0,Sinaloa
2018,25,W22,466,466,808088.6599999998,428,0,Sinaloa
