anio,rango_salarial,ta,ta_sal,masa_sal_ta,permanentes,no_trabajadores
2018,,135487,0,0.0,135487,7101201
2018,W7,766404,766404,436114074.55999935,667840,0
2018,W16,98949,98949,135459473.11999997,90842,0
2018,W2,8036670,8036670,974112897.1697893,6871400,0
2018,W1,12841,12841,1118923.279999986,10826,0
2018,W10,295803,295803,248103390.5400002,260400,0
2018,W15,115145,115145,147398569.67999998,105326,0
2018,W20,50311,50311,86662831.46999998,46635,0
2018,W8,532700,532700,351463190.7599998,465473,0
2018,W6,986309,986309,477826868.74000436,848392,0
2018,W11,224571,224571,207935005.76000035,198491,0
2018,W21,43343,43343,78525939.76000005,40256,0
2018,W14,133053,133053,158790544.96,119439,0
2018,W3,3792274,3792274,820209372.8000116,3154030,0
2018,W12,184007,184007,186788720.8599996,163885,0
2018,W4,2159229,2159229,661368292.4900014,1813630,0
2018,W23,368456,368456,741551698.0400001,345149,0
2018,W17,80304,80304,116979551.94000003,74161,0
2018,W18,66380,66380,102603382.24000011,61339,0
2018,W22,46008,46008,87220432.07000002,42968,0
2018,W19,56176,56176,91748492.41000004,52107,0
2018,W5,1345139,1345139,531608394.299993,1143433,0
2018,W9,381267,381267,285450447.4099997,335595,0
2018,W13,152607,152607,168256814.01000005,135097,0
2020,,123982,0,0.0,123982,7733219
2020,W10,205306,205306,239685874.9899997,182109,0
2020,W11,162116,162116,209300995.77000028,145260,0
2020,W2,9615634,9615634,1597506790.4401402,8249092,0
2020,W12,140115,140115,198284591.4699998,128352,0
2020,W13,115891,115891,178335028.03000012,107026,0
2020,W17,51082,51082,103722165.42000002,47578,0
2020,W16,60517,60517,115352666.00000009,56187,0
2020,W18,377641,377641,818545001.3199998,354078,0
2020,W5,1240650,1240650,684501090.3600035,1071093,0
2020,W8,373985,373985,343920970.48000044,329388,0
2020,W7,553574,553574,441745901.81999886,489583,0
2020,W14,91085,91085,151246776.43999985,84246,0
2020,W6,792521,792521,533248863.30999815,688199,0
2020,W4,1816999,1816999,774999296.6999927,1559083,0
2020,W1,26404,26404,3190935.369999947,22950,0
2020,W15,74180,74180,132385828.95000005,68945,0
2020,W3,3490354,3490354,1051294009.0199859,2956406,0
2020,W9,276306,276306,288823391.95999956,245782,0
2022,,112267,0,0.0,112267,7851341
2022,W5,1096705,1096705,845719578.6599948,961027,0
2022,W6,670654,670654,632472250.1000013,593699,0
2022,W9,241185,241185,353918586.0599998,220877,0
2022,W2,11761185,11761185,2702978720.2425385,10044185,0
2022,W13,97699,97699,211830445.8499997,91485,0
2022,W3,3621392,3621392,1520198342.4800124,3137286,0
2022,W14,487009,487009,1166736741.7299986,460735,0
2022,W10,183412,183412,300124593.93000025,169628,0
2022,W4,1936014,1936014,1155487328.6199853,1693652,0
2022,W8,311290,311290,401944703.1799986,278475,0
2022,W11,132558,132558,240020147.44000027,122960,0
2022,W12,101460,101460,201343262.40000015,94578,0
2022,W7,439889,439889,491412828.45000154,392901,0
2022,W1,44147,44147,7385459.1700000195,40760,0
2024,,90288,0,0.0,90288,8090500
2024,W2,13913861,13913861,4554885476.93887,11923508,0
2024,W3,3686701,3686701,2229133719.069999,3191227,0
2024,W8,254392,254392,472838049.88000035,233233,0
2024,W10,128185,128185,302330414.14000005,119028,0
2024,W7,352118,352118,568107199.3700005,317131,0
2024,W4,1661461,1661461,1424147448.5900035,1424394,0
2024,W5,874487,874487,968286736.9599997,765787,0
2024,W6,521251,521251,709017320.4299989,459499,0
2024,W11,543896,543896,1465044213.3799999,511917,0
2024,W9,170056,170056,358680540.6000005,157037,0
2024,W1,193139,193139,47618441.66999997,190119,0
2026,,59464,0,0.0,59464,8097989
2026,W2,15254596,15254596,6286050388.145329,13120303,0
2026,W3,3296754,3296754,2513792655.0899982,2869514,0
2026,W6,449557,449557,773756035.7000002,402342,0
2026,W4,1432683,1432683,1554088473.3399973,1267875,0
2026,W10,510033,510033,1494156781.91,481980,0
2026,W7,317191,317191,645291228.5499995,293058,0
2026,W1,379307,379307,119016675.45999502,371188,0
2026,W5,753006,753006,1055735865.94,673287,0
2026,W8,196753,196753,462991816.53999954,181785,0
2026,W9,149129,149129,399643358.5899999,139332,0
