anio,rango_uma,ta,ta_sal,masa_sal_ta,permanentes,no_trabajadores
2018,,135487,0,0.0,135487,7101201
2018,W3,3875468,3875468,769459355.780009,3209532,0
2018,W23,39702,39702,72014318.16999997,36878,0
2018,W6,1027471,1027471,453552372.8799943,876340,0
2018,W24,43537,43537,82362611.97000001,40673,0
2018,W16,114532,114532,142902305.78000015,104382,0
2018,W10,334084,334084,255016925.72999996,293757,0
2018,W1,12841,12841,1118923.2799999926,10826,0
2018,W18,83629,83629,117834899.03999989,77054,0
2018,W13,170118,170118,171286475.23999953,151642,0
2018,W5,1473357,1473357,530106984.799999,1252143,0
2018,W8,568857,568857,343341586.9199995,488066,0
2018,W2,7179889,7179889,829123201.63996,6169879,0
2018,W4,2270715,2270715,633402259.3099949,1897388,0
2018,W7,872822,872822,457497328.4500022,762614,0
2018,W15,120792,120792,141164971.05,107870,0
2018,W22,44584,44584,77251739.31999995,41334,0
2018,W21,50244,50244,82976778.42000002,46665,0
2018,W14,145438,145438,158045423.7,128414,0
2018,W9,437251,437251,298616486.8000006,384964,0
2018,W17,95164,95164,126466915.64000021,87358,0
2018,W19,67321,67321,100296849.53000003,62201,0
2018,W12,205537,205537,190220983.13000008,181539,0
2018,W25,371711,371711,747863634.7199999,348170,0
2018,W11,264644,264644,223896136.87000003,233313,0
2018,W20,58238,58238,91477840.20000002,53712,0
2020,,123982,0,0.0,123982,7733219
2020,W14,141610,141610,165813307.97,124901,0
2020,W7,887194,887194,499090306.3500033,766840,0
2020,W13,182660,182660,198005709.5,163135,0
2020,W6,1046382,1046382,497285489.370002,901492,0
2020,W19,73722,73722,118356096.95999998,68038,0
2020,W16,104946,104946,141269215.15999994,94999,0
2020,W1,26404,26404,3190935.369999941,22950,0
2020,W4,2463804,2463804,739468587.0699925,2078330,0
2020,W8,606396,606396,393727853.29000044,524625,0
2020,W12,209243,209243,208780767.60000008,185200,0
2020,W18,83191,83191,126422692.69999991,76714,0
2020,W10,377580,377580,310290940.62999964,335592,0
2020,W25,381764,381764,827161859.0299997,357912,0
2020,W22,47923,47923,89417585.71000002,44659,0
2020,W2,5817458,5817458,809698718.1300704,5043768,0
2020,W15,123131,123131,154887691.95,110198,0
2020,W3,4329786,4329786,922526097.4300429,3656240,0
2020,W5,1559192,1559192,603612881.9999901,1336835,0
2020,W24,35777,35777,72910793.71000001,33313,0
2020,W20,59919,59919,101442312.08000006,55570,0
2020,W9,444120,444120,326793909.68000025,389443,0
2020,W17,97240,97240,139260842.54999986,89227,0
2020,W23,37942,37942,74132555.00000001,35190,0
2020,W21,51834,51834,92220418.54999992,48187,0
2020,W11,275142,275142,250322610.05999985,241999,0
2022,,112267,0,0.0,112267,7851341
2022,W19,77660,77660,138116569.73999995,71829,0
2022,W10,414769,414769,377987782.8800001,366672,0
2022,W11,316574,316574,319397842.94999963,280788,0
2022,W9,543905,543905,443545934.2499985,480769,0
2022,W7,998552,998552,623120330.1300002,871091,0
2022,W2,4492444,4492444,820191812.8603748,3982512,0
2022,W1,44147,44147,7385459.170000033,40760,0
2022,W12,253202,253202,279904714.94000006,225896,0
2022,W24,51766,51766,116745162.71000002,48751,0
2022,W3,5257012,5257012,1247755652.2300184,4342501,0
2022,W18,92446,92446,155552991.35000002,85805,0
2022,W25,462845,462845,1111691669.3599997,438087,0
2022,W13,201704,201704,242366937.6500002,181073,0
2022,W16,135670,135670,202147764.41000003,124787,0
2022,W22,52170,52170,107967013.80000006,48705,0
2022,W8,706445,706445,508410765.21000046,614523,0
2022,W15,139300,139300,194145362.16999996,125900,0
2022,W21,58079,58079,114544750.61999997,54084,0
2022,W6,1360812,1360812,716695767.0299995,1192795,0
2022,W4,3123395,3123395,1039933314.320007,2673531,0
2022,W5,1940054,1940054,831065968.9099897,1684977,0
2022,W14,174013,174013,225795471.89999998,155378,0
2022,W23,46342,46342,100332729.33000006,43209,0
2022,W20,66635,66635,124945011.15000014,62090,0
2022,W17,114658,114658,181826209.2400002,105735,0
2024,,90288,0,0.0,90288,8090500
2024,W7,1191764,1191764,839137723.4299984,1028585,0
2024,W9,613092,613092,563727203.469999,525336,0
2024,W11,355590,355590,404230291.9200007,311793,0
2024,W17,125668,125668,224893377.17999995,115056,0
