anio,sector_economico_1,sexo,ta,ta_sal,masa_sal_ta,permanentes,no_trabajadores,sector
2018,0,1,489233,427985,93421289.74999928,338641,0,"Agricultura, Ganadería, Silvicultura, Pesca y Caza"
2018,1,1,119461,119459,75170844.84999985,94970,0,Industrias Extractivas
2018,8,1,2695738,2667375,979140558.4300132,2426078,0,"Servicios para Empresas, Personas y el Hogar"
2018,3,1,3480550,3479417,1468006869.2899342,2969333,0,Industrias de la Transformación
2018,4,2,242931,242912,56635518.96999989,180168,0,Industria de la Construcción
2018,,2,0,0,0.0,0,3528941,
2018,0,2,157299,128547,26293877.139999997,103849,0,"Agricultura, Ganadería, Silvicultura, Pesca y Caza"
2018,6,1,2373957,2370997,782362267.9500345,2171332,0,Comercio
2018,,1,0,0,0.0,0,3572260,
2018,5,2,31213,31213,25958330.749999993,22564,0,Ind Eléctrica y Captación y Suministro de Agua Potable
2018,7,2,240649,240638,102074087.46999975,207003,0,Transportes y Comunicaciones
2018,6,2,1609149,1606204,433747199.8000163,1459396,0,Comercio
2018,4,1,1492754,1492543,337475581.1300019,860382,0,Industria de la Construcción
2018,8,2,2006641,1998107,636107661.2800071,1817993,0,"Servicios para Empresas, Personas y el Hogar"
2018,9,1,912470,911677,475307506.69000244,833659,0,Servicios Sociales y Comunales
2018,3,2,1974551,1974225,586611211.8200186,1693729,0,Industrias de la Transformación
2018,9,2,1212558,1212492,550766457.3700029,1114585,0,Servicios Sociales y Comunales
2018,1,2,12430,12429,7656851.600000003,9908,0,Industrias Extractivas
2018,5,1,113906,113904,100024736.03,83053,0,Ind Eléctrica y Captación y Suministro de Agua Potable
2018,7,1,897943,897822,360536458.05,795558,0,Transportes y Comunicaciones
2020,,1,0,0,0.0,0,3841341,
2020,0,2,180139,153621,35776077.99000014,113104,0,"Agricultura, Ganadería, Silvicultura, Pesca y Caza"
2020,1,1,107685,107680,73469885.58999988,86148,0,Industrias Extractivas
2020,4,2,241991,241972,65113789.630000435,183851,0,Industria de la Construcción
2020,3,2,1996125,1995841,684861748.3500009,1715461,0,Industrias de la Transformación
2020,4,1,1281664,1281437,344028312.2199903,776476,0,Industria de la Construcción
2020,6,2,1643497,1640494,498000661.74996424,1498008,0,Comercio
2020,0,1,507317,453502,114582983.619998,340400,0,"Agricultura, Ganadería, Silvicultura, Pesca y Caza"
2020,6,1,2346928,2344130,859857392.3700132,2148105,0,Comercio
2020,7,1,931823,931715,405961445.54999316,831001,0,Transportes y Comunicaciones
