anio,sexo,rango_salarial,ta,ta_sal,masa_sal_ta,permanentes,no_trabajadores
2018,2,,40654,0,0.0,40654,3528941
2018,1,W2,4901340,4901340,590964170.8001204,4083315,0
2018,2,W6,321340,321340,155792465.5799995,283148,0
2018,1,W6,664969,664969,322034403.16000164,565244,0
2018,1,W23,280782,280782,565135719.7,262413,0
2018,1,W15,75501,75501,96672876.66000003,68512,0
2018,1,W17,55333,55333,80625888.94000001,50836,0
2018,2,W18,20465,20465,31621508.03999997,19138,0
2018,1,W20,35682,35682,61470771.75999997,32900,0
2018,1,W21,31063,31063,56282857.12999997,28732,0
2018,2,W11,75487,75487,69907697.59000005,67938,0
2018,2,W8,188579,188579,124280449.52999991,169187,0
2018,2,W23,87674,87674,176415978.34,82736,0
2018,2,W14,46216,46216,55179580.86999999,42138,0
2018,1,W1,5883,5883,510055.8100000009,4861,0
2018,2,W17,24971,24971,36353662.99999999,23325,0
2018,1,W3,2202051,2202051,477629966.599992,1785685,0
2018,1,W7,518703,518703,294769700.3099996,447860,0
2018,2,W1,6958,6958,608867.4700000024,5965,0
2018,2,W15,39644,39644,50725693.019999996,36814,0
2018,1,W18,45915,45915,70981874.19999997,42201,0
2018,1,,94833,0,0.0,94833,3572260
2018,2,W2,3135330,3135330,383148726.37004936,2788085,0
2018,1,W8,344121,344121,227182741.22999984,296286,0
2018,1,W4,1373623,1373623,421568569.73999846,1134744,0
2018,1,W19,39258,39258,64119999.60000003,36239,0
2018,1,W13,100818,100818,111188204.13,88521,0
2018,2,W4,785606,785606,239799722.74999923,678886,0
2018,1,W11,149084,149084,138027308.16999993,130553,0
2018,1,W14,86837,86837,103610964.09,77301,0
2018,2,W12,61840,61840,62780599.250000015,56259,0
2018,2,W9,125952,125952,94246090.11000001,113648,0
2018,2,W21,12280,12280,22243082.630000006,11524,0
2018,1,W12,122167,122167,124008121.6099998,107626,0
2018,1,W10,196339,196339,164643636.05999997,170735,0
2018,2,W20,14629,14629,25192059.710000012,13735,0
2018,1,W9,255315,255315,191204357.30000007,221947,0
2018,1,W22,33516,33516,63531823.72000004,31176,0
2018,1,W16,66197,66197,90619560.02999993,60356,0
2018,2,W16,32752,32752,44839913.08999997,30486,0
2018,2,W10,99464,99464,83459754.47999999,89665,0
2018,2,W13,51789,51789,57068609.88,46576,0
2018,2,W3,1590223,1590223,342579406.1999982,1368345,0
2018,1,W5,896682,896682,354662541.41999745,750130,0
2018,2,W5,448457,448457,176945852.8799996,393303,0
2018,2,W7,247701,247701,141344374.2499998,219980,0
2018,2,W22,12492,12492,23688608.35000001,11792,0
2018,2,W19,16918,16918,27628492.809999995,15868,0
2020,2,W9,94304,94304,98597661.74,85940,0
2020,1,W10,135199,135199,157854419.12,118957,0
2020,2,W18,95131,95131,206162659.66,89729,0
2020,2,,39020,0,0.0,39020,3891878
2020,1,W3,2096304,2096304,634481904.32,1747937,0
2020,2,W2,3942014,3942014,661978846.56,3485814,0
2020,2,W3,1394050,1394050,416812104.7,1208469,0
2020,2,W11,54390,54390,70231825.55,49462,0
2020,2,W17,15081,15081,30615943.66,14254,0
2020,2,W12,48541,48541,68661926.67,45109,0
