anio,tamano_patron,ta,ta_sal,masa_sal_ta,permanentes,no_trabajadores
2018,,35117,0,0.0,35117,7101201
2018,S2,1138831,1138649,193766893.83998996,1057874,0
2018,S3,4241703,4240675,1054806391.7699717,3719676,0
2018,S6,2242901,2209973,895277433.0999978,1846439,0
2018,S7,5048583,5005068,2350539897.830003,4417769,0
2018,S4,4761585,4755071,1646303158.949991,3967262,0
2018,S1,264146,258235,41399469.370002225,249867,0
2018,S5,2330567,2320275,915204063.5099995,1888197,0
2020,,57237,23745,3956806.259999996,57237,7733219
2020,S7,5089567,5052722,2657560307.0699944,4459123,0
2020,S3,4237372,4236119,1220457251.9300554,3738831,0
2020,S1,282054,276184,54235426.18000336,265608,0
2020,S2,1165887,1165706,239617156.16992918,1083543,0
2020,S6,2031833,2002627,938446445.5699971,1683748,0
2020,S5,2197781,2187041,975542563.1899991,1807693,0
2020,S4,4526611,4520216,1776274221.4800036,3813556,0
2022,,112095,86441,20485401.130000282,112095,7851341
2022,S4,4772509,4767247,2239401352.8000917,4043030,0
2022,S1,294815,289829,69619737.08999626,277379,0
2022,S2,1239309,1239154,325289708.2299351,1147696,0
2022,S5,2220850,2206244,1194816552.2300026,1834227,0
2022,S6,2216696,2189919,1214023381.0500007,1831710,0
2022,S7,5711675,5678000,3520967062.30002,5040742,0
2022,S3,4668917,4667765,1646969793.4804146,4127636,0
2024,,294814,282154,85611449.96999931,294814,8090500
2024,S6,2294242,2269881,1527584699.3100014,1898386,0
2024,S1,293084,290299,93687199.54000303,275840,0
2024,S4,5074822,5070582,2869896827.709974,4302545,0
2024,S7,5991052,5959772,4415317092.879996,5219425,0
2024,S3,4828143,4827004,2128414621.7499428,4270254,0
2024,S5,2401096,2387331,1558960126.6100004,1997570,0
2024,S2,1212582,1212524,420617543.2599869,1124334,0
2026,,483766,483512,179153810.52554914,483757,8097989
2026,S5,2414009,2399923,1806014280.0299828,2027062,0
2026,S2,1131347,1131312,478386423.2300366,1050463,0
2026,S4,5102680,5097682,3331638508.319894,4386489,0
2026,S1,274417,274018,108261095.34001088,257594,0
2026,S3,4741134,4740787,2458404232.289534,4217678,0
2026,S7,6396942,6381578,5213800787.690004,5538389,0
2026,S6,2254178,2230197,1728864141.839995,1898696,0
